,Date,TC_Tray7_Temp,TC_Tray40_Temp,TC_Charge_Temp,TC_Overhead_Pressure,TC_Overhead_Reciever_Temp,TC_Tray24_Temp,TC_Differential_Pressure,TC_Bottom_Pressure,TC_Reboil_Out_Temp,TC_Reboil_Condensor_lbs
1381,2020-04-09 06:00:00,191.2992554,202.1141052,163.4765625,242.7826233,168.2525635,167.0805511,2.596786499,245.426178,205.938736,4832.294434
1382,2020-04-08 06:00:00,190.4003143,201.9735565,159.8034973,236.1424255,170.4598236,166.0171204,3.095205069,239.3138885,204.7485352,6450.563477
1383,2020-04-07 13:00:00,190.1525879,201.8707886,169.9981689,235.0494995,169.7662354,169.0947418,2.996200562,238.0828857,204.7302399,6323.165527
1384,2020-04-07 06:00:00,191.5701141,203.4301758,168.0082245,240.5761566,172.1545715,165.9161072,3.180877686,243.6828766,206.1672821,6551.399902
1385,2020-04-06 13:00:00,191.0514526,202.4307251,179.0863037,236.9031067,171.8568115,165.9147339,2.969912529,239.8910522,205.079834,6309.789063
1386,2020-04-06 06:00:00,191.5279999,203.6476135,158.4551086,240.493927,170.9428253,165.6265717,3.054580927,243.5776672,206.2597656,6037.613281
1387,2020-04-05 13:00:00,192.1035919,203.9807129,154.756424,240.4021149,172.7744293,165.3625793,3.106826305,243.5072327,206.1848297,6317.689453
1388,2020-04-05 06:00:00,191.9378967,204.0519714,154.497406,240.5424957,172.9226532,164.4780731,3.156550646,243.714386,206.1218414,6390.819824
1389,2020-04-04 13:00:00,192.5639496,204.2236328,153.0873718,241.1082458,174.0071716,163.8292999,3.118610859,244.0927734,206.0895844,6496.175293
1390,2020-04-04 06:00:00,191.7628632,203.4823761,152.3061676,239.0814667,173.9817505,162.7937927,3.143031836,242.3594971,205.1704254,6674.290039
1391,2020-04-03 13:00:00,194.3613281,206.1004639,168.3846741,245.7230072,175.7556763,165.4940033,3.136130333,248.7473145,207.904068,6895.220703
1392,2020-04-03 06:00:00,185.1856842,196.9349365,185.3656769,222.7620087,166.5292969,159.0209351,2.978937626,225.7238617,199.3579712,6803.457031
1393,2020-04-02 13:00:00,191.9356689,203.7492828,163.9188843,238.9896393,173.6510468,170.4635925,3.102058411,241.8809967,206.0571594,5839.540039
1394,2020-04-02 06:00:00,191.6522675,204.1320953,157.9109955,238.387146,174.6673584,165.9282684,3.071731567,242.9161072,205.7434235,6185.995605
1395,2020-04-01 13:00:00,191.8626709,204.0416412,160.3485107,239.631073,174.2329865,167.8021088,2.977255821,242.6679077,206.4655914,6082.239746
1396,2020-04-01 06:00:00,191.7311401,203.5484314,155.4746399,239.575592,174.863739,166.5970306,3.218700886,242.7903748,205.9426117,6524.201172
1397,2020-03-31 13:00:00,190.0484161,203.7696838,155.0365906,236.1795654,168.1028442,168.0332489,2.980639219,239.3979034,205.9570313,6285.54834
1398,2020-03-31 06:00:00,182.040329,199.5582581,171.5258026,232.3846436,150.2105713,157.0823364,3.012008667,235.3935089,203.2901611,6461.402832
1399,2020-03-30 13:00:00,190.451355,202.8970795,160.1230316,238.6022644,169.1495514,166.8658447,3.023020506,241.6333771,205.8971558,6278.041504
1400,2020-03-30 06:00:00,191.1180267,203.7200928,159.8105774,240.9916382,169.4018402,166.7986603,3.163766146,244.1499023,206.5797729,6314.898438
1401,2020-03-29 13:00:00,191.0413971,203.7917175,159.0186157,239.5057526,169.344101,167.802002,3.094291449,242.506485,206.2654114,6158.541504
1402,2020-03-29 06:00:00,188.9087372,202.401825,152.7827454,237.8798065,165.5750885,162.37883,3.156214952,240.9802551,205.4949951,6338.264648
1403,2020-03-28 13:00:00,189.3451385,203.2538452,158.3847656,239.3214722,162.2166748,165.104126,3.052344084,242.4145203,206.193634,6020.083984
1404,2020-03-28 06:00:00,189.6320038,203.4089813,153.8618622,237.3775482,170.6586609,163.6320038,3.143532515,240.4820099,205.7059631,6368.404297
