Date,TA.Charge.BPD,TA.OH.PSIG,TA.Tray4.F,TA.OH.F,TA.RECV.PCT,TA.RECV.PSIG,TA.REFLUX.BPD,TA.RECYCLE.TO.CONTACT.BPD,TA.RECYCLE.TO.CONTACT.F,TA.TRAY39.F,TA.TRAY45.F,TA.DP.PSIG,TA.BTM.PSIG,TA.BTM.LEVEL.PCT,TA.BTM.REBOIL.OUT.F,TA.TOP.REBOIL.OUT.F
12/28/2018 19:22,12869.32422,96.39816284,134.3719482,132.635498,20.88864326,99.2279129,5859.196289,6219.470703,77.40783691,162.6342773,174.9542236,5.154418945,101.5937805,73.74267578,318.3105469,226.0253906
12/28/2018 19:15,13167.11328,96.9291687,134.7883453,133.0383301,18.4931736,99.73297119,5811.747559,6327.806641,77.45056152,162.991333,175.9582672,5.243675232,102.200325,74.08599854,317.5354004,223.6938477
12/28/2018 19:12,13898.36133,97.43041992,135.1135254,133.3770752,17.47506714,100.1098633,5857.442383,6330.895508,77.18811035,163.3880615,176.2695313,5.115509033,102.5848465,74.74822998,316.3391113,221.8200836
12/28/2018 19:04,14851.65332,98.06214142,135.5560303,133.7371826,17.07679939,100.7446289,5814.73877,6302.861328,77.27355957,163.1134033,176.1016846,5.163574219,103.2600403,76.222229,316.0519409,222.1923828
12/28/2018 19:02,14320.40332,97.99346924,135.5133057,133.7982178,17.6332016,100.6591797,5835.987305,6355.841309,77.27355957,163.1134033,176.0803375,5.179595947,103.1845093,75.89874268,316.3208008,222.668457
12/28/2018 18:53,13887.72656,97.34115601,135.0035095,133.1817627,19.96406555,100.0488281,5821.856445,6279.22168,77.0324707,162.9425049,175.5767822,5.172366142,102.5939941,75.0912323,316.583252,224.9755859
12/28/2018 18:52,13644.92773,97.28393555,135.0036621,133.203125,20.1565361,99.97558594,5868.58252,6369.621094,77.07519531,162.902832,175.5554352,5.124444485,102.4452209,75.09155273,316.6625977,225.2624664
12/28/2018 18:43,13314.71289,96.80328369,134.8724365,133.0718994,20.67241287,99.56360626,5831.964844,6307.613281,77.26728058,162.7319336,175.3897247,5.09262085,101.8981934,74.93133545,317.3706055,226.3122711
12/28/2018 18:41,13281.25,96.77810669,134.5123291,133.0718994,20.62099266,99.49188232,5833.305664,6252.494141,77.28881836,162.7502441,175.4455719,5.218505859,101.9966125,74.60174561,317.6940918,226.3733063
12/28/2018 18:33,13853.48535,96.73461914,134.6374512,132.8582764,19.69802094,99.48426056,5833.718262,6320.798828,77.394104,162.8753662,175.5096436,5.108642578,101.8638611,73.82507324,318.4448242,226.184082
